iter	Passed	Remaining
0	2	266
1	4	227
2	6	216
3	8	193
4	9	189
5	11	186
6	14	189
7	16	188
8	18	184
9	19	178
10	21	174
11	23	173
12	25	170
13	27	167
14	28	164
15	30	162
16	32	160
17	34	157
18	36	154
19	38	152
20	39	149
21	41	146
22	43	144
23	45	142
24	46	140
25	48	138
26	50	136
27	52	133
28	53	132
29	55	130
30	57	128
31	59	125
32	61	124
33	63	122
34	65	120
35	67	119
36	68	117
37	70	115
38	72	113
39	74	111
40	76	109
41	76	106
42	78	104
43	80	102
44	82	100
45	84	98
46	86	97
47	87	94
48	89	92
49	91	91
50	93	89
51	95	87
52	96	85
53	99	84
54	100	82
55	102	80
56	103	78
57	105	76
58	107	74
59	109	72
60	110	70
61	112	68
62	113	66
63	115	65
64	117	63
65	119	61
66	121	59
67	122	57
68	124	55
69	125	53
70	127	52
71	129	50
72	131	48
73	133	46
74	135	45
75	136	43
76	138	41
77	140	39
78	142	37
79	143	35
80	145	34
81	146	32
82	148	30
83	150	28
84	152	26
85	153	25
86	155	23
87	157	21
88	159	19
89	161	17
90	162	16
91	164	14
92	166	12
93	168	10
94	170	8
95	171	7
96	173	5
97	175	3
98	176	1
99	178	0
