iter	Passed	Remaining
0	1	999
1	1	854
2	2	800
3	3	797
4	3	780
5	4	762
6	5	746
7	5	738
8	6	731
9	7	718
10	7	716
11	8	711
12	9	719
13	10	721
14	11	759
15	12	762
16	13	757
17	13	753
18	14	747
19	15	743
20	15	738
21	16	740
22	17	737
23	18	732
24	18	731
25	19	728
26	20	726
27	20	722
28	21	721
29	22	717
30	22	716
31	23	714
32	24	712
33	25	711
34	25	709
35	26	712
36	27	713
37	28	713
38	28	713
39	29	713
40	30	712
41	31	711
42	31	710
43	32	709
44	33	707
45	34	706
46	34	704
47	35	703
48	36	701
49	37	703
50	37	703
51	38	700
52	39	700
53	39	700
54	40	701
55	41	702
56	42	704
57	43	703
58	44	703
59	44	701
60	45	698
61	46	697
62	46	697
63	47	695
64	48	695
65	49	695
66	49	694
67	50	692
68	51	691
69	51	688
70	52	687
71	53	686
72	54	686
73	54	685
74	55	683
75	56	681
76	56	680
77	57	680
78	58	679
79	58	678
80	59	676
81	60	674
82	60	670
83	62	676
84	62	676
85	63	674
86	64	674
87	65	673
88	65	673
89	66	671
90	67	670
91	67	669
92	68	668
93	69	667
94	70	666
95	70	667
96	71	667
97	72	666
98	73	664
99	73	663
100	74	662
101	75	662
102	76	662
103	76	661
104	77	660
105	78	659
106	79	659
107	79	659
108	80	658
109	81	656
110	81	656
111	82	654
112	83	653
113	83	652
114	84	650
115	85	649
116	85	647
117	86	647
118	87	646
119	88	645
120	88	644
121	89	643
122	90	643
123	90	642
124	91	641
125	92	641
126	93	639
127	93	638
128	94	637
129	95	636
130	95	635
131	96	634
132	97	634
133	98	634
134	98	634
135	99	633
136	100	632
137	101	631
138	101	631
139	102	632
140	103	632
141	104	630
142	105	630
143	105	629
144	106	628
145	107	627
146	108	627
147	108	625
148	109	626
149	110	627
150	111	626
151	112	626
152	113	625
153	113	625
154	114	625
155	115	624
156	116	625
157	117	624
158	117	623
159	118	623
160	119	621
161	120	621
162	121	624
163	122	624
164	123	623
165	123	622
166	124	621
167	125	621
168	126	621
169	127	621
170	127	620
171	128	619
172	129	619
173	130	619
174	131	618
175	132	618
176	132	617
177	133	616
178	134	615
179	134	614
180	135	614
181	136	613
182	137	612
183	137	611
184	138	611
185	139	610
186	140	609
187	141	609
188	141	608
189	142	607
190	143	606
191	143	605
192	144	604
193	145	604
194	146	603
195	146	602
196	147	601
197	148	600
198	149	600
199	149	599
200	150	598
201	151	597
202	151	596
203	152	595
204	153	595
205	154	594
206	154	593
207	155	592
208	156	591
209	157	590
210	157	590
211	158	589
212	159	588
213	159	587
214	160	585
215	161	584
216	161	583
217	162	583
218	163	582
219	164	581
220	164	580
221	165	579
222	166	578
223	166	577
224	167	576
225	168	576
226	168	575
227	169	574
228	170	573
229	171	572
230	171	572
231	172	571
232	173	571
233	174	570
234	174	569
235	175	568
236	176	567
237	177	566
238	177	566
239	178	565
240	179	564
241	179	563
242	180	562
243	181	561
244	182	560
245	182	560
246	183	559
247	184	558
248	185	558
249	185	557
250	186	556
251	187	555
252	187	554
253	188	554
254	189	553
255	190	552
256	190	551
257	191	550
258	192	550
259	193	549
260	193	548
261	194	547
262	195	547
263	195	546
264	196	545
265	197	544
266	198	543
267	198	543
268	199	542
269	200	541
270	201	540
271	201	540
272	202	539
273	203	538
274	203	537
275	204	536
276	205	536
277	206	535
278	206	534
279	207	533
280	208	532
281	208	531
282	209	530
283	209	529
284	210	528
285	211	527
286	212	526
287	212	526
288	213	525
289	214	524
290	215	524
291	215	523
292	216	522
293	217	521
294	217	520
295	218	519
296	219	518
297	220	518
298	220	517
299	221	516
300	222	516
301	222	515
302	223	514
303	224	513
304	225	512
305	225	511
306	226	511
307	227	510
308	227	509
309	228	509
310	229	508
311	230	507
312	231	507
313	231	506
314	232	505
315	233	504
316	233	504
317	234	503
318	235	502
319	236	501
320	236	500
321	237	500
322	238	499
323	239	498
324	239	498
325	240	497
326	241	496
327	242	496
328	242	495
329	243	494
330	244	494
331	245	493
332	246	492
333	246	492
334	247	491
335	248	490
336	249	489
337	249	489
338	250	488
339	251	487
340	251	486
341	252	485
342	253	484
343	253	483
344	254	483
345	255	482
346	255	481
347	256	480
348	257	480
349	258	479
350	258	478
351	259	478
352	260	477
353	261	476
354	261	475
355	262	475
356	263	474
357	264	473
358	264	472
359	265	472
360	266	471
361	266	470
362	267	469
363	268	469
364	269	468
365	269	467
366	270	466
367	271	465
368	271	464
369	272	464
370	273	463
371	274	463
372	275	462
373	275	461
374	276	460
375	277	459
376	277	459
377	278	458
378	279	457
379	280	456
380	280	455
381	281	455
382	282	454
383	282	453
384	283	452
385	284	452
386	284	451
387	285	450
388	286	449
389	286	448
390	287	448
391	288	447
392	289	446
393	290	446
394	290	445
395	291	444
396	292	443
397	292	442
398	293	442
399	294	441
400	294	440
401	295	439
402	296	438
403	297	438
404	297	437
405	298	436
406	299	435
407	299	435
408	300	434
409	301	433
410	302	433
411	303	432
412	304	432
413	304	431
414	305	430
415	306	429
416	306	429
417	307	428
418	308	427
419	308	426
420	309	426
421	310	425
422	311	424
423	311	423
424	312	422
425	313	422
426	313	421
427	314	420
428	315	419
429	316	418
430	316	418
